epoch,stage,lr,train_loss,train_mse,train_kl,val_loss,val_mse,val_kl,PLCC,SROCC,KROCC,Aggregate,time_seconds
1,1,0.001,1.9699622139334678,1.9699622139334678,0.0,346.88476715087893,346.88476715087893,0.0,0.8809,0.8934,0.7224,2.4967,30.7033851146698
2,1,0.001,0.3916541023978165,0.3916541023978165,0.0,0.29329484812915324,0.29329484812915324,0.0,0.9267,0.9289,0.774,2.6296,28.270949840545654
3,1,0.001,0.36934228869421143,0.36934228869421143,0.0,0.39812745749950407,0.39812745749950407,0.0,0.8855,0.8956,0.7251,2.5062,28.24026584625244
4,1,0.001,0.3915224522884403,0.3915224522884403,0.0,28.744269275665282,28.744269275665282,0.0,0.8829,0.8939,0.7225,2.4993,28.302974700927734
5,1,0.001,0.3110822763826166,0.3110822763826166,0.0,0.19552333131432534,0.19552333131432534,0.0,0.9567,0.9589,0.8384,2.754,28.449254035949707
6,1,0.001,0.3144553296001894,0.3144553296001894,0.0,1.1051061779260636,1.1051061779260636,0.0,0.9551,0.9529,0.8255,2.7335,28.44318127632141
7,1,0.001,0.28743615999285665,0.28743615999285665,0.0,0.5800991401076316,0.5800991401076316,0.0,0.8856,0.8836,0.7199,2.4891,28.47696042060852
8,1,0.001,0.33923514043646197,0.33923514043646197,0.0,0.08466725163161755,0.08466725163161755,0.0,0.9675,0.969,0.8658,2.8023,28.675889492034912
9,1,0.001,0.24634840472468308,0.24634840472468308,0.0,0.1643504187464714,0.1643504187464714,0.0,0.9314,0.9345,0.7828,2.6486,29.030256986618042
10,1,0.001,0.24640315704579865,0.24640315704579865,0.0,12.819858169555664,12.819858169555664,0.0,0.8463,0.8528,0.6723,2.3715,28.616016626358032
11,1,0.001,0.26815740314445324,0.26815740314445324,0.0,0.6279498159885406,0.6279498159885406,0.0,0.9341,0.9397,0.7965,2.6703,28.993541479110718
12,1,0.001,0.23814320495086058,0.23814320495086058,0.0,0.6386433392763138,0.6386433392763138,0.0,0.9478,0.9539,0.8253,2.727,28.73506212234497
13,1,0.001,0.25709759502538615,0.25709759502538615,0.0,0.08556616008281707,0.08556616008281707,0.0,0.9677,0.9663,0.858,2.792,28.715264797210693
14,1,0.001,0.21650608176631586,0.21650608176631586,0.0,0.6577404767274857,0.6577404767274857,0.0,0.947,0.9539,0.8276,2.7284,28.703356981277466
15,1,0.001,0.2916147384792566,0.2916147384792566,0.0,3.095241791009903,3.095241791009903,0.0,0.8825,0.9275,0.7802,2.5902,28.885767936706543
16,1,0.001,0.30103421780679906,0.30103421780679906,0.0,0.505855892598629,0.505855892598629,0.0,0.9729,0.9708,0.869,2.8126,28.596214056015015
17,1,0.001,0.24554479963013104,0.24554479963013104,0.0,0.2603262342512608,0.2603262342512608,0.0,0.9601,0.9609,0.8426,2.7636,29.089664697647095
18,1,0.001,0.20872768477669784,0.20872768477669784,0.0,2.5307510077953337,2.5307510077953337,0.0,0.9529,0.9538,0.8262,2.7329,29.047945022583008
19,1,0.001,0.1798413517751864,0.1798413517751864,0.0,0.9182237759232521,0.9182237759232521,0.0,0.9476,0.9469,0.8179,2.7124,30.3586642742157
20,1,0.001,0.2684560563149197,0.2684560563149197,0.0,0.1218475254252553,0.1218475254252553,0.0,0.9612,0.9663,0.8576,2.7851,30.091309547424316
21,1,0.001,0.15959003187183823,0.15959003187183823,0.0,1.7468923807144165,1.7468923807144165,0.0,0.9343,0.9425,0.8057,2.6825,31.30213713645935
22,1,0.001,0.16969588925795895,0.16969588925795895,0.0,0.28725862987339496,0.28725862987339496,0.0,0.9368,0.9369,0.8006,2.6744,29.510822772979736
23,1,0.001,0.15030987065817628,0.15030987065817628,0.0,0.5392205327749252,0.5392205327749252,0.0,0.9506,0.9499,0.8222,2.7227,29.92167568206787
24,1,0.001,0.19164104600037848,0.19164104600037848,0.0,0.9889613091945648,0.9889613091945648,0.0,0.9495,0.9504,0.822,2.7219,29.485498666763306
25,1,0.001,0.14969590362161397,0.14969590362161397,0.0,0.1871233083307743,0.1871233083307743,0.0,0.9505,0.9564,0.8329,2.7398,28.656860828399658
26,1,0.001,0.14084721401865993,0.14084721401865993,0.0,5.392496454715729,5.392496454715729,0.0,0.9358,0.9385,0.7942,2.6686,28.630261659622192
