epoch,stage,lr,train_loss,train_mse,train_kl,val_loss,val_mse,val_kl,PLCC,SROCC,KROCC,Aggregate,time_seconds
14,2,4.9643758184071324e-05,0.5889796584844589,0.5351011721151215,0.05622054657765797,1.040355272591114,1.0080496594309807,0.03259916072711348,0.7893,0.7699,0.5625,2.1217,42.09908628463745
5,1,0.0003,1.2018347331455776,1.1055004468985967,0.3305077991847481,2.2573201566934586,2.208637945353985,0.019868068071082233,0.3476,0.3493,0.2453,0.9423,41.015949726104736
15,2,4.9487560148216916e-05,0.6091928875872067,0.5466633984020778,0.13404500749228257,0.9633059322834014,0.9307805389165879,0.029807416163384913,0.7949,0.775,0.5683,2.1382,42.581539154052734
6,2,1.6666666666666667e-05,1.1914853870868682,1.1142619060618537,0.17432181393461568,1.9536099776625633,1.9051204428076745,0.018952869717031716,0.2393,0.2756,0.1879,0.7028,42.018476486206055
16,2,4.930339369024957e-05,0.5436901222382273,0.490843089563506,0.04003828114696911,0.8869062080979347,0.8541437178850174,0.026860757451504468,0.7992,0.7837,0.5797,2.1626,41.83131551742554
7,2,3.3333333333333335e-05,0.940223548242024,0.8591516183955329,0.2408782156982592,1.7526374608278275,1.7077053621411324,0.02464759722352028,0.5406,0.5566,0.405,1.5022,41.30268049240112
17,2,4.909147354002109e-05,0.5254375862223761,0.47055918595620566,0.04322916716337204,0.8059022828936577,0.7727177232503891,0.025510178972035648,0.8037,0.7926,0.5889,2.1852,41.96412444114685
8,2,5e-05,0.8995810440608434,0.8166968232819012,0.2784845023815121,1.614151008427143,1.5733386352658272,0.029002201929688453,0.6945,0.719,0.5375,1.951,41.78285336494446
18,2,4.885204678694694e-05,0.5654016962008817,0.5140001172465938,0.03795538643108947,0.7335237100720405,0.7001459859311581,0.025055021792650223,0.8088,0.8003,0.5969,2.2061,41.57500195503235
9,2,5e-05,0.7211106675011771,0.6532110314284052,0.10782238375395536,1.5049537554383279,1.4683472096920014,0.029604524187743664,0.7398,0.7456,0.5459,2.0313,42.0546875
19,2,4.8585392591911105e-05,0.4873018853366375,0.4393656451787267,0.038088968808629685,0.6582558527588844,0.6251723140478134,0.022583654755726455,0.8148,0.8131,0.6134,2.2413,42.750412940979004
10,2,2.5500000000000003e-05,0.666763117483684,0.6063170788543565,0.04305787349918059,1.4147026717662812,1.3808465078473091,0.03143348777666688,0.7458,0.7432,0.5383,2.0273,43.42121720314026
20,2,4.829182186177691e-05,0.46035564690828323,0.4123180998223169,0.03337642547142293,0.5930624559521676,0.5606968969106674,0.021189484745264053,0.8228,0.8273,0.6326,2.2828,38.89066433906555
21,2,4.7971676886883606e-05,0.5081014829022544,0.46300815727029526,0.03127655690269811,0.5401610784232617,0.5089194469153882,0.020157119957730174,0.8314,0.84,0.6498,2.3212,32.44634819030762
22,2,4.7625330941951054e-05,0.44428415085588185,0.40009947291442327,0.028996617466743504,0.4901218257844448,0.4599055886268616,0.020037841517478228,0.8401,0.8512,0.6661,2.3574,38.00729465484619
23,2,4.725318785085819e-05,0.4273563821400915,0.3808533210839544,0.025189074807401214,0.4465053126215935,0.41720069348812105,0.019934340100735425,0.8481,0.8597,0.6771,2.3849,32.24469590187073
24,2,4.685568151580241e-05,0.44293844125100545,0.3985442865639925,0.025547757651656865,0.4093856319785118,0.380797965079546,0.02061513834632933,0.855,0.8691,0.6879,2.412,38.65813708305359
25,2,4.6433275411388974e-05,0.41752280433263095,0.37180291307824,0.030051400499152284,0.37968004792928695,0.3516670860350132,0.020291470643132924,0.8608,0.8763,0.6972,2.4343,37.65254187583923
26,2,4.598646204424042e-05,0.42758461268884795,0.38211554400622844,0.025369842962494917,0.35411604046821593,0.3266874607652426,0.020268622785806656,0.8671,0.8831,0.7072,2.4574,31.179730892181396
